,title,subtitle,link
0,EYE SORE,Lindelof hit by object thrown from Man City end in ugly scenes in FA Cup final,https://www.thesun.co.uk/sport/22568561/man-utd-lindelof-eye-man-city-fa-cup-final/
1,MAN UTD RATINGS,Garnacho shines in FA Cup final but De Gea blunder costs Ten Hag's men,https://www.thesun.co.uk/sport/22568985/manchester-united-manchester-city-fa-cup-bruno-fernandes/
2,STONE WALL,Utd boss Ten Hag nullifies key City tactic in FA Cup final but it's not enough,https://www.thesun.co.uk/sport/22569411/man-utd-ten-hag-tactic-stones-sancho/
3,CASE TO ANSWER,Casemiro escapes red for horror stamp on Akanji to leave City fans raging,https://www.thesun.co.uk/sport/22568386/man-utd-casemiro-tackle-manuel-akanji-fa-cup-city/
4,'RIDICULOUS',Man Utd given 'worst penalty in history of penalties' vs City as pundits rage,https://www.thesun.co.uk/sport/22568530/man-utd-penalty-man-city-fa-cup-final-pundit/
5,'WHAT A GUY',Fans in stitches as they spot Liam Gallagher 's***housing' young Man Utd fan,https://www.thesun.co.uk/sport/22569119/liam-gallagher-man-utd-fan-city-fa-cup-final/
6,MIC DROP,Fans baffled by FA Cup final national anthem singer's 'BDSM costume',https://www.thesun.co.uk/sport/22568474/fa-cup-final-national-anthem-costume-man-city-man-utd/
7,'MUCKY',Erik ten Hag slammed by fans as cameras capture 'filthy habit' after FA Cup final,https://www.thesun.co.uk/sport/22569311/erik-ten-hag-slammed-gum-fa-cup-man-utd/
8,SLOW SPEED,Shocking moment YouTuber Speed is 'PUNCHED' as fight breaks out at FA Cup final,https://www.thesun.co.uk/sport/22569027/youtube-ishowspeed-punched-man-utd-city-fa-cup-final/
9,GUN FOR GOLD,Man City score fastest EVER FA Cup final goal vs Man Utd after six touches,https://www.thesun.co.uk/sport/22568259/ilkay-gundogan-man-utd-city-goal-fa-cup-final/
10,CUP-SET,Man City stars slammed as 'scruffy' for FA Cup final attire after ditching suits,https://www.thesun.co.uk/sport/22568023/man-city-pep-guardiola-fa-cup-final-suits/
11,'MUCH-LOVED FRIEND',Emotional Guy Mowbray leads tributes after BBC staff member's death,https://www.thesun.co.uk/sport/22569052/guy-mowbray-bbc-staff-death/
12,RANKED,Best casino welcome bonus - UK casino offers for 2023,https://www.thesun.co.uk/betting/21097803/casino-welcome-bonus/
13,'CHEAT' ACE,Married Prem and England star 'paid influencer mistress £20k for abortion',https://www.thesun.co.uk/sport/22566343/premier-league-england-footballer-instagram-mistress-abortion-strip/
14,LEFT ON RED,Man Utd fans convinced of first transfer as target is spotted at FA Cup final,https://www.thesun.co.uk/sport/22569095/man-utd-jurrien-timber-transfer-fa-cup-final-wembley/
15,MOUNT-AIN TO CLIMB,Mount 'rejected STAGGERING Chelsea offer' before agreeing Man Utd move,https://www.thesun.co.uk/sport/22568237/mason-mount-rejected-chelsea-man-utd-transfer/
16,FEELING FIN-AL,Fans praise Laura Woods' outfit at FA Cup final between Man Utd and Man City,https://www.thesun.co.uk/sport/22567976/laura-woods-fa-cup-manchester-united-manchester-city/
17,EXPERT REVIEW,I'm a casino expert - here’s how to make the most of your free spins bonuses,https://www.thesun.co.uk/betting/22454421/make-most-of-free-spins-bonuses/
18,TOP DEAL,Get money back up to £40 if your first bet loses PLUS £10 casino bonus with Unibet,https://www.thesun.co.uk/sport/22176588/money-back-first-bet-casino-bonus-unibet-offer/
19,TOP 40,Football free bets: Get £40 bonus when you stake £10 with William Hill,https://www.thesun.co.uk/sport/20695257/william-hill-free-bets-sign-up-bonus-offer-register/
20,BIG DEAL,Claim £30 in free football accas when you bet £10 at Ladbrokes,https://www.thesun.co.uk/sport/betting-tips/19780272/ladbrokes-football-free-bets/
21,LETT'S GO,Loris Karius' stunning girlfriend begs him to leave 'uncomfortable' Newcastle,https://www.thesun.co.uk/sport/22567884/loris-karius-girlfriend-begs-leave-newcastle/
22,THERE IN A MIN,Napoli insiders 'confident star will complete Man Utd transfer this summer',https://www.thesun.co.uk/sport/22567605/napoli-insiders-take-granted-kim-man-utd-transfer/
23,SIX APPEAL,Maguire linked with SIX Prem clubs as it's revealed he played with broken bones,https://www.thesun.co.uk/sport/22566693/harry-maguire-broken-ribs-man-utd/
24,TIME TO GO,Hugo Lloris drops Tottenham transfer bombshell and says 'it's the end of an era',https://www.thesun.co.uk/sport/22568944/hugo-lloris-tottenham-transfer-news-premier-league/
25,'ARTETA EFFECT',Smith Rowe brutally trolled over unique new tattoos including Spanish quote,https://www.thesun.co.uk/sport/22568248/smith-rowe-trolled-cringeworthy-tattoos-spanish-quote-arsenal/
26,'BEAUTIFUL',Aston Villa star Alisha Lehmann shows off bum in bikini while on holiday,https://www.thesun.co.uk/sport/22566635/aston-villa-alisha-lehmann-bum-bikini-holiday/
27,'BOX OFFICE',Stony-faced Man Utd legend Keane brutally shuts down Richards in five words,https://www.thesun.co.uk/sport/22567068/roy-keane-richards-neville-man-utd-man-city/
28,TRUMP CARD,Arsenal in Caicedo blow as Chelsea have major advantage in race for Brighton ace,https://www.thesun.co.uk/sport/22567035/arsenal-moises-caicedo-transfer-blow-chelsea-brighton-levi-colwill/
29,HARRY UP,Ancelotti tells Real Madrid bosses to sign Harry Kane in transfer showdown talks,https://www.thesun.co.uk/sport/22568335/carlo-ancelotti-real-madrid-harry-kane-tottenham/
30,TOP TIER,Newcastle confident of sealing Tierney transfer with Arsenal to use money for Rice,https://www.thesun.co.uk/sport/22567689/newcastle-kieran-tierney-transfer-aston-villa-arsenal-declan-rice/
31,CASINO,Best Casino Bonuses - Sign up for Free Spins and No deposit bonuses,https://www.thesun.co.uk/betting/20754895/casino-bonus/
32,CASH OUT QUICK!,Fast withdrawal casinos: Best instant withdrawal casinos in the UK,https://www.thesun.co.uk/betting/21287535/fast-withdrawal-casinos/
33,FREE SPINS,Duelz Casino bonus: 100% matched deposit and 100 free spins,https://www.thesun.co.uk/betting/21848309/matched-deposit-bonus-duelz-casino/
34,BAD LUC,Huge footy clash abandoned as player taken to hospital after attack by fan,https://www.thesun.co.uk/sport/22564438/luca-buades-rodez-hospital-attack-bordeaux-fan/
